-48,-59,-82,-71,-54,-54,-55,3
-38,-59,-82,-70,-54,-56,-54,3
-54,-59,-82,-67,-45,-56,-54,3
-41,-59,-82,-67,-45,-56,-36,3
-50,-60,-82,-66,-51,-43,-42,3
-50,-60,-82,-69,-33,-43,-42,3
-52,-58,-82,-67,-33,-28,-26,3
-50,-58,-82,-67,-42,-41,-26,3
-55,-67,-82,-70,-50,-41,-26,3
-51,-67,-82,-67,-50,-41,-37,3
-54,-67,-82,-71,-50,-42,-37,3
-60,-65,-82,-73,-50,-42,-39,3
-33,-65,-82,-65,-50,-36,-48,3
-49,-65,-58,-64,-55,-36,-48,3
-34,-59,-65,-62,-55,-41,-41,3
-51,-59,-69,-63,-35,-34,-41,3
-52,-59,-65,-62,-39,-34,-41,3
-49,-59,-60,-73,-39,-45,-46,3
-40,-59,-61,-72,-31,-31,-46,3
-51,-59,-53,-72,-48,-31,-39,3
-57,-59,-62,-72,-48,-35,-36,3
-42,-59,-55,-72,-36,-37,-36,3
-61,-60,-60,-72,-36,-37,-35,3
-53,-60,-74,-72,-41,-39,-39,3
-38,-61,-63,-72,-54,-39,-39,3
-31,-63,-60,-72,-54,-39,-53,3
-52,-63,-53,-72,-49,-43,-53,3
-52,-59,-63,-72,-41,-43,-53,3
-47,-59,-55,-72,-41,-54,-59,3
-34,-50,-63,-72,-52,-52,-59,3
-34,-55,-61,-72,-52,-52,-50,3
-39,-55,-64,-72,-49,-51,-40,3
-37,-56,-51,-72,-51,-56,-40,3
-33,-56,-59,-72,-51,-58,-55,3
-32,-56,-57,-72,-51,-55,-56,3
-54,-48,-67,-72,-51,-55,-56,3
-42,-48,-66,-72,-51,-56,-53,3
-51,-48,-66,-72,-55,-54,-53,3
-48,-41,-63,-72,-58,-54,-54,3
-47,-41,-63,-72,-58,-57,-57,3
-52,-49,-65,-72,-61,-59,-57,3
-43,-49,-58,-72,-61,-59,-62,3
-46,-49,-58,-72,-61,-60,-62,3
-38,-49,-64,-72,-56,-60,-62,3
-53,-49,-63,-72,-56,-60,-56,3
-43,-60,-61,-72,-50,-49,-51,3
-40,-61,-63,-72,-56,-49,-51,3
-40,-61,-63,-72,-56,-55,-51,3
-43,-59,-67,-72,-55,-56,-51,3
-42,-59,-66,-72,-52,-56,-52,3
-48,-59,-68,-72,-52,-42,-49,3
-47,-59,-66,-72,-42,-43,-49,3
-41,-59,-66,-72,-42,-43,-52,3
-40,-60,-66,-72,-42,-52,-44,3
-39,-60,-71,-72,-52,-52,-44,3
-41,-60,-71,-72,-52,-52,-52,3
-48,-60,-73,-72,-53,-54,-52,3
-47,-60,-67,-72,-56,-54,-52,3
-50,-65,-71,-72,-56,-57,-57,3
-47,-64,-68,-72,-58,-59,-57,3
-48,-64,-63,-72,-53,-59,-55,3
-49,-61,-68,-72,-53,-55,-54,3
-50,-61,-70,-72,-53,-52,-54,3
-51,-61,-66,-72,-53,-52,-57,3
-48,-61,-68,-72,-53,-43,-57,3
-40,-61,-64,-72,-55,-43,-57,3
-39,-58,-60,-72,-55,-43,-56,3
-48,-67,-65,-72,-55,-55,-56,3
-50,-67,-62,-72,-44,-55,-56,3
-41,-60,-62,-72,-44,-54,-52,3
-52,-60,-61,-72,-42,-52,-52,3
-55,-60,-57,-72,-42,-52,-41,3
-39,-58,-65,-72,-42,-51,-42,3
-40,-58,-65,-72,-56,-54,-42,3
-30,-66,-65,-72,-56,-54,-55,3
-50,-65,-71,-72,-56,-31,-31,3
-53,-65,-67,-72,-48,-31,-31,3
-52,-64,-61,-72,-48,-31,-52,3
-41,-64,-62,-72,-30,-30,-52,3
-54,-66,-69,-72,-51,-30,-55,3
-51,-58,-59,-72,-51,-34,-30,3
-50,-58,-64,-72,-55,-55,-30,3
-57,-60,-64,-72,-31,-55,-30,3
-40,-61,-60,-72,-47,-55,-47,3
-35,-61,-58,-72,-31,-38,-47,3
-49,-63,-60,-72,-31,-38,-54,3
-36,-63,-63,-72,-52,-50,-51,3
-44,-53,-63,-72,-54,-50,-51,3
-50,-64,-65,-72,-54,-50,-48,3
-50,-64,-67,-72,-42,-50,-48,3
-49,-55,-66,-72,-37,-50,-48,3
-50,-55,-67,-72,-37,-37,-47,3
-48,-55,-66,-72,-44,-49,-47,3
-51,-55,-61,-72,-44,-49,-52,3
-53,-55,-56,-72,-44,-53,-56,3
-48,-55,-63,-72,-50,-41,-56,3
-34,-64,-68,-72,-50,-41,-59,3
-36,-64,-61,-72,-59,-58,-59,3
-36,-61,-65,-72,-59,-58,-59,3
-35,-61,-58,-72,-59,-60,-59,3
